Date,ADYEY,AFRM,ALKT,AVLR,BILL,BTRS,BL,BHG,CLOV,COIN,COMP,DLO,DOMA,DCT,ENV,EVER,FLT,FLYW,FCH.L,GDOT,HIPO,INTA,KPLT,LMND,LSPD,LDI,LU,MQ,MELI,MILE,ML,NCNO,OLO,OPEN,OSCR,PAGS,PAY,PAYO,PYPL,QTWO,RDFN,ROOT,SEZNL,SHOP,SOFI,SQ,STNE,UPST,VIRT,XROLF,HOOD,BLND,WPLCF,TOST,RELY
2015-01-02,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,
2015-01-05,,,,,,,,,,,,,,,0.9844134875679791,,0.9568747774711251,,,0.9837758152622235,,,,,,,,,0.9876837786443501,,,,,,,,,,,0.9984119226591462,,,,,,,,,,1.0,,,,,
2015-01-06,,,,,,,,,,,,,,,0.9643150549640953,,0.9466924344922693,,,0.9803343354449285,,,,,,,,,0.9700437455406008,,,,,,,,,,,0.9692959270127325,,,,,,,,,,1.0,,,,,
2015-01-07,,,,,,,,,,,,,,,0.9975389882252974,,0.9530814051773442,,,0.9783677223817522,,,,,,,,,0.9681365579998219,,,,,,,,,,,0.9899418403316318,,,,,,,,,,1.012799988,,,,,
2015-01-08,,,,,,,,,,,,,,,1.0285070397434746,,0.9724477602053953,,,0.996558520674347,,,,,,,,,0.9825982507561457,,,,,,,,,,,1.0254103475648657,,,,,,,,,,1.012799988,,,,,
2015-01-09,,,,,,,,,,,,,,,1.0379409834647426,,0.9553441258777631,,,0.9798426825478661,,,,,,,,,0.9717124662102334,,,,,,,,,,,1.0095288674331715,,,,,,,,,,1.012799988,,,,,
2015-01-12,,,,,,,,,,,,,,,1.0274815462708982,,0.9411021487825224,,,0.9823008550961098,,,,,,,,,0.9557409699621843,,,,,,,,,,,1.0095288674331715,,,,,,,,,,0.9840000152,,,,,
2015-01-13,,,,,,,,,,,,,,,1.046144382229749,,0.9440969372589721,,,0.9813175483187003,,,,,,,,,0.9533571536978648,,,,,,,,,,,0.9804129728984602,,,,,,,,,,0.9840000152,,,,,
2015-01-14,,,,,,,,,,,,,,,1.0344544784225496,,0.9303207667826714,,,0.9759095493418666,,,,,,,,,0.941835333615139,,,,,,,,,,,1.0,,,,,,,,,,1.0255999752,,,,,
2015-01-15,,,,,,,,,,,,,,,1.0010254932674902,,0.9162784356417637,,,0.9296951676767808,,,,,,,,,0.9288040776685528,,,,,,,,,,,0.9613552375027365,,,,,,,,,,1.0,,,,,
